COMM,CODE,SPEC,COMM_FR,STACAC_CODE
WOLFFISH;UNIDENT.,59,ANARHICHADIDAE F.,Loups,
HERRING(ATLANTIC),60,CLUPEA HARENGUS,Hareng atlantique,200
SHAD AMERICAN,61,ALOSA SAPIDISSIMA,Alose savoureuse,
ALEWIFE,62,ALOSA PSEUDOHARENGUS,Gasperau,350
RAINBOW SMELT,63,OSMERUS MORDAX,êperlan d'AmÇrique,
CAPELIN,64,MALLOTUS VILLOSUS,Capelan,360
SALMON(ATLANTIC),65,SALMO SALAR,Saumon atlantique,
LAKE WHITEFISH,66,COREGONUS CLUPEAFORMIS,Grand corÇgone,
ATLANTIC WHITEFISH,67,COREGONUS CANADENSIS,Coregonus canadensis,
PINK SALMON,68,ONCORHYNCHUS GORBUSCHA,Saumon rose,
RAINBOW TROUT,69,SALMO GAIRDNERI,Truite arc-en-ciel,
MACKEREL(ATLANTIC),70,SCOMBER SCOMBRUS,Maquereau bleu,250
BLUEFIN TUNA,71,THUNNUS THYNNUS,Thon rouge,
SWORDFISH,72,XIPHIAS GLADIUS,Espadon,
TUNAS;SWORDFISHES;ETC.,73,SCOMBROIDEI (SUBORDER),ScombÇroides,
BANDED RUDDERFISH,74,SERIOLA ZONATA,SÇriole Ö ceinture,
BROWN TROUT,75,SALMO TRUTTA,Truite brune,
ARCTIC CHAR,76,SALVELINUS ALPINUS,Omble chevalier,
BROOK TROUT,77,SALVELINUS FONTINALIS,Truite mouchetÇe,
BULLEYE,78,COOKEOLUS BOOPS,Cookeolus boops,
GLASSEYE SNAPPER,79,PRIACANTHUS CRUENTATUS,Priacanthus cruentatus,
ROUND SCAD,80,DECAPTERUS PUNCTATUS,Decapterus punctatus,
BLUEFISH,81,POMATOMUS SALTATRIX,Tassergal,
SHARKSUCKER,82,ECHENEIS NAUCRATES,Naucrate,
SPEARFISH REMORA,83,REMORA BRACHYPTERA,RÇmora brun,
REMORA,84,REMORA REMORA,RÇmora noir,
BLUE RUNNER,85,CARANX CRYSOS,Carangue jaune,
CREVALLE JACK,86,CARANX HIPPOS,Carangue crevallÇ,
MACKEREL SCAD,87,DECAPTERUS MACARELLUS,Faux-maquereau,
PILOTFISH,88,NAUCRATES DUCTOR,Fanfre,
BIGEYE SCAD,89,SELAR CRUMENOPHTHALMUS,SÇlar Ö grandes paupieres,
UNID. FISH,90,UNID. FISH (LARVAE;JUVENILE AND ADULTS),Poisson non-identifiÇ (toutes les ages et longueurs),
ATLANTIC LOOKDOWN,91,SELENE VOMER,SÇläne Atlantique,
GREATER AMBERJACK,92,SERIOLA DUMERILI,Seriola dumerili,
HORSE MACKEREL,93,TRACHURUS TRACHURUS,Chinchard,
ATLANTIC MOONFISH,94,VOMER SETAPINNIS,Assiätte atlantique,
ATLANTIC POMFRET,95,BRAMA BRAMA,Grande castagnole,
BIGSCALE POMFRET,96,TARACTICHTHYS LONGIPINNIS,Castagnole fauchoir,
GREENLAND MANEFISH,97,CARISTIUS GROENLANDICUS,Cariste du Groenland,
LUTJANUS SP.,98,LUTJANUS SP.,Lutjanus sp.,
SHEEPSHEAD,99,ARCHOSARGUS PROBATOCEPHALUS,Spare tàte-de-mouton,
FINFISHES (NS),100,FINFISHES (NS),Poissons,
GADOIDS,101,GADOIDEI S.O.,Gadoidei s.o.,
SCUP,102,STENOTOMUS CHRYSOPS,Spare dorÇ,
WEAKFISH,103,CYNOSCION REGALIS,Acoupa royal,
BLACK DRUM,104,POGONIAS CROMIS,Grand tambour,
RED GOATFISH,105,MULLUS AURATUS,Rouget dorÇ,
BERMUDA CHUB,106,KYPHOSUS SECTATRIX,Kyphose des Bermudes,
SPOTFIN BUTTERFLYFISH,107,CHAETODON OCELLATUS,Palhala,
LEPIDION EQUES,108,LEPIDION EQUES,LÇpidion Ö grands yeux,
DAINTY MORA,109,HALARGYREUS JOHNSONII,More dÇlicat,
ARCTIC COD,110,BOREOGADUS SAIDA,Saida (morue arctique),
SPOTTED HAKE,111,UROPHYCIS REGIA,Merluche tachetÇe,
LONGFIN HAKE,112,UROPHYCIS CHESTERI,Merluche Ö longues nageoires,
BLUE ANTIMORA/HAKE,113,ANTIMORA ROSTRATA,Antimore bleu,
FOURBEARD ROCKLING,114,ENCHELYOPUS CIMBRIUS,Motelle Ö quatre barbillons,
THREEBEARD ROCKLING,115,GAIDROPSARUS ENSIS,Mustäle arctique Ö trois barbillons,
SILVER ROCKLING,116,GAIDROPSARUS ARGENTATUS,Mustäle argentÇe,
BLUE WHITING,117,MICROMESISTIUS POUTASSOU,Poutassou,
GREENLAND COD,118,GADUS OGAC,Ogac,101
ROCKLING UNIDENTIFIED,119,GAIDROPSARUS SP.,Mustäle sp.,
WHITE PERCH,120,MORONE AMERICANA,Perche blanche,
SOUTHERN SEA BASS,121,CENTROPRISTIS STRIATA,Bar noir,
CUNNER,122,TAUTOGOLABRUS ADSPERSUS,Tanche-tautogue,
ROSEFISH(BLACK BELLY),123,HELICOLENUS DACTYLOPTERUS,Chävre impÇriale,
CENTROBRANCHUS NIGRO-OCEL,124,CENTROBRANCHUS NIGRO-OCELLATUS,Lanterne fine oreille-faucille,
DIAPHUS EFFULGENS,125,DIAPHUS EFFULGENS,Diaphus effulgens,
DIAPHUS PERSPICILLATUS,126,DIAPHUS PERSPICILLATUS,Diaphus perspicillatus,
DIAPHUS LUETKENI,127,DIAPHUS LUETKENI,Diaphus luetkeni,
DIAPHUS MOLLIS,128,DIAPHUS MOLLIS,Diaphus mollis,
DIAPHUS RAFINESQUII,129,DIAPHUS RAFINESQUII,Diaphus rafinesquii,
DIAPHUS TERMOPHILUS,130,DIAPHUS TERMOPHILUS,Diaphus termophilus,
ELECTRONA RISSOI,131,ELECTRONA RISSOI,Electrona rissoi,
COCCO'S LANTERNFISH,132,GONICHTHYS COCCOI,Lanterne de Cocco,
PROTOMYCTOPHUM ARCTICUM,133,PROTOMYCTOPHUM ARCTICUM - OBSOLETE,Protomyctophum arcticum -obs,
BENOIT'S LANTERNFISH,134,HYGOPHUM BENOITI,Lanterne Ö long nez,
HYGOPHUM HYGOMI,135,HYGOPHUM HYGOMI,Hygophum hygomi,
HYGOPHUM MACROCHIR,136,HYGOPHUM MACROCHIR,Hygophum macrochir,
LAMPADENA LUMINOSA,137,LAMPADENA LUMINOSA,Lampadena luminosa,
MIRROR LANTERNFISH,138,LAMPADENA SPECULIGERA,Lanterne-miroir,
LAMPANYCTUS ALATUS,139,LAMPANYCTUS ALATUS,Lampanyctus alatus,
SMOOTH FLOUNDER,140,LIOPSETTA PUTNAMI,Plie lisse,
SUMMER FLOUNDER,141,PARALICHTHYS DENTATUS,Cardeau d'ÇtÇ,
FOURSPOT FLOUNDER,142,HIPPOGLOSSINA OBLONGA,Cardeau quatre ocelles,
BRILL/WINDOWPANE,143,SCOPHTHALMUS AQUOSUS,Turbot de sable,145
JEWEL LANTERNFISH,144,LAMPANYCTUS CROCODILUS,Grande lampe bouÇe,
LAMPANYCTUS FESTIVUS,145,LAMPANYCTUS FESTIVUS,Lampanyctus festivus,
LAMPANYCTUS MACDONALDI,146,LAMPANYCTUS MACDONALDI,Lampanyctus macdonaldi,
LAMPANYCTUS PUSILLUS,147,LAMPANYCTUS PUSILLUS,Lampanyctus pusillus,
NOTCH FEELERFISH,148,BATHYPTEROIS DUBIUS,Cran-tactile Ö muselet,
LONGNOSE GREENEYE,149,PARASUDIS TRUCULENTA,Oeil-vert Ö long nez,
LANTERNFISH (NS),150,MYCTOPHIDAE,Lanternes,
STOMIATOID UNIDENTIFIED,151,STOMIIDAE,Dragons Ö Çcailles,
LANTERNFISH,152,DIAPHUS DUMERILI,Diaphus dumerilii,
ARGENTINOID (NS),153,ARGENTINOIDEI S.O.,Argentinoidei s.o.,
VEILED ANGLE MOUTH,154,CYCLOTHONE MICRODON,Cyclothone Ö petites dents,
LONGTOOTH ANGLEMOUTH,155,GONOSTOMA ELONGATUM,Gonostome Ö grandes dents,
SHORT-NOSE GREENEYE,156,CHLOROPHTHALMUS AGASSIZI,Oeil-vert camus,
GLACIER LANTERNFISH,157,BENTHOSEMA GLACIALE,Lanterne glaciäre,
MULLER'S PEARLSIDES,158,MAUROLICUS MUELLERI,Maurolicus muelleri,
BOA DRAGONFISH,159,STOMIAS BOA,Dragon-boa,
ARGENTINE(ATLANTIC),160,ARGENTINA SILUS,Grande argentine,
STRIATED ARGENTINE,161,ARGENTINA STRIATA,Argentine striÇe,
ARGENTINE.LARGE-EYED,162,NANSENIA GROENLANDICA,Serpe du Groenland,
LANTERNFISH;HORNED,163,CERATOSCOPELUS MADERENSIS,Lanterne cornÇe,
MENHADEN(ATLANTIC),164,BREVOORTIA TYRANNUS,Alose tyran,
BLUEBACK HERRING,165,ALOSA AESTIVALIS,Alose d'ÇtÇ,
ROUND HERRING,166,ETRUMEUS TERES,Shadine,
TARPON,167,MEGALOPS ATLANTICUS,Tarpon,
HEADLIGHT FISH,168,DIAPHUS METOPOCLAMPUS,Lanterne de tàte de casseur,
VIPERFISH,169,CHAULIODUS SLOANI,Chauliode de Sloane (träs lumineux),
CHUB MACKEREL,170,SCOMBER JAPONICUS,Maquereau blanc,
SPANISH MACKEREL,171,SCOMBEROMORUS MACULATUS,Maquereau espagnol,
STRIPED BONITO/SKIPJACK,172,EUTHYNNUS PELAMIS,Thonine Ö ventre rayÇe,
FALSE ALBACORE,173,EUTHYNNUS ALLETTERATUS,Thonine commune,
JACK,174,CARANGIDAE,Pompanos et carangues,
BONEFISH,175,ALBULA VULPES,Banane de mer,
GOITRE BLACKSMELT,176,BATHYLAGUS EURYOPS,Garcette-goitre,
LOOSEJAW,177,MALACOSTEUS NIGER,Drague sans lampe,
LOBIANCHIA GEMELLERII,178,LOBIANCHIA GEMELLERII,Lobianchia gemellerii,
METALLIC LANTERNFISH,179,MYCTOPHUM AFFINE,Lanterne rude du nord,
SPOTTED LANTERNFISH,180,MYCTOPHUM PUNCTATUM,Lanterne ponctuÇe,
NOTOLYCHNUS VALDIVIAE,181,NOTOLYCHNUS VALDIVIAE,Notolychnus valdiviae,
LANTERNFISH KROYER'S,182,NOTOSCOPELUS ELONGATUS KROYERI,Lanterne-voiliäre nordique,
LANTERNFISH PATCHWORK,183,NOTOSCOPELUS RESPLENDENS,Lanterne-voiliäre sao-en-coin,
LARGESCALE LANTERNFISH,184,SYMBOLOPHORUS VERANYI,Lanterne-de-coin nord-atlantique,
TAANINGICHTHYS BATHYPHILU,185,TAANINGICHTHYS BATHYPHILUS,Taaningichthys bathyphilus,
TAANINGICHTHYS MINIMUS,186,TAANINGICHTHYS MINIMUS,Taaningichthys minimus,
FRIGATE MACKEREL,187,AUXIS THAZARD,Bonitou,
ATLANTIC BONITO,188,SARDA SARDA,Bonite Ö dos rayÇ,
KING MACKEREL,189,SCOMBEROMORUS  CAVALLA,Roi-des-maquereaux,
ALBACORE TUNA,190,THUNNUS ALALUNGA,Germon atlantique,
YELLOWFIN TUNA,191,THUNNUS ALBACARES,Albacore,
BIGEYE TUNA,192,THUNNUS OBESUS,Thon ventru,
HAKE (NS),193,UROPHYCIS SP.,Merluches,
MORAS,194,MORIDAE,Mores,
ROCKLING HAKE,195,ENCHELYOPUS/UROPHYCIS SP.,Enchelyopus/urophycis sp.,
LEFTEYE FLOUNDER,196,BOTHIDAE F.,Turbots,
PARROTFISH,197,SCARIDAE F.,Scaridae f.,
CHANNEL FLOUNDER,198,SYACIUM SP.,Syacium sp.,
LABROIDEI S.O.,199,LABROIDEI S.O.,Labroides,
BARNDOOR SKATE,200,DIPTURUS LAEVIS,Grande raie,
THORNY SKATE,201,AMBLYRAJA RADIATA,Raie Çpineuse,
SMOOTH SKATE,202,MALACORAJA SENTA,Raie lisse,
LITTLE SKATE,203,LEUCORAJA ERINACEA,Raie herisson,
WINTER SKATE,204,LEUCORAJA OCELLATA,Raie tachetÇe,
SPINYTAIL SKATE,205,BATHYRAJA SPINICAUDA,Raie Ö queue Çpineuse,
BRIER SKATE,206,RAJA EGLANTERIA,Raie Ö nez blanc,
ROUND SKATE,207,RAJELLA FYLLAE,Raie ronde,
SOFT SKATE,208,RAJA MOLLIS,Raie molle,
SHORTTAIL SKATE,209,AMBLYRAJA JENSENI,Raie Ö queue courte,
ARCTIC SKATE,210,RAJA HYPERBOREA,Raie borÇale,
SKATES (NS),211,RAJIDAE F.,Raies sp.,
ABYSSAL SKATE,212,RAJA BATHYPHILA,Raie abyssale,
ROUGHTAIL STINGRAY,213,DASYATIS CENTROURA,Pastenague Ö queue Çpineuse,
RAYS (NS),214,MYLIOBATIFORMES O. (NS),Myliobatiformes o. (ns),
SHARK; SAND,215,CARCHARIAS TAURUS,Requin-taureau,
ATLANTIC TORPEDO,216,TORPEDO NOBILIANA,Torpille noire,
WHITE SKATE,217,RAJA LINTEA,Raie linon,
PELAGIC STINGRAY,218,DASYATIS VIOLACEA,Pastenague violette,
SKATES AND RAYS (NS),219,RAJIFORMES,Raies,
SPINY DOGFISH,220,SQUALUS ACANTHIAS,Aiguillat commun,
BLACK DOGFISH,221,CENTROSCYLLIUM FABRICII,Aiguillat noir,
SMOOTH DOGFISH,222,MUSTELUS CANIS,êmissole,
PORTUGUESE SHARK,223,CENTROSCYMNUS COELOLEPIS,Pailona,
ROUGH SAGRE,224,ETMOPTERUS PRINCEPS,Sagre rude,
ATLANTIC MANTA,225,MANTA BIROSTRIS,Mante atlantique,
PROTOMYCTOPHUM ARCTICUM,226,PROTOMYCTOPHUM ARCTICUM,Lanterne arctique,
NOTOSCOPELUS SP.,227,NOTOSCOPELUS SP.,Lanternes,
LEPIDOPHANES GUENTHERI,228,LEPIDOPHANES GUENTHERI,Lepidophanes guentheri,
DIAPHUS SP.,229,DIAPHUS SP.,Diaphus sp.,
PORBEAGLE;MACKEREL SHARK,230,LAMNA NASUS,Maraåche,
BLUE SHARK,231,PRIONACE GLAUCA,Requin bleu,
WHITE SHARK,232,CARCHARODON CARCHARIAS,Requin blanc,
BASKING SHARK,233,CETORHINUS MAXIMUS,Requin pälerin,
THRESHER SHARK,234,ALOPIAS VULPINUS,Requin-renard,
ATLANTIC SHARPNOSE SHARK,235,RHIZOPRIONODON TERRAENOVAE,Requin Ö nez pointu,
SMOOTH;HAMMERHEAD SHARK,236,SPHYRNA ZYGAENA,Requin-marteau commun,
GREENLAND SHARK,237,SOMNIOSUS MICROCEPHALUS,Laimargue,
SHORTFIN MAKO,238,ISURUS OXYRINCHUS,Mako,
DEEPSEA CAT SHARK,239,APRISTURUS PROFUNDORUM,Roussette de profondeur,
SEA LAMPREY,240,PETROMYZON MARINUS,Grande lamproie marine,
NORTHERN HAGFISH,241,MYXINE GLUTINOSA,Myxine du nord,
DEEPWATER CHIMAERA,242,HYDROLAGUS AFFINIS,Chimäre de profondeur,
AMERICAN ATLANT STURGEON,243,ACIPENSER OXYRHYNCHUS,Esturgeon noir,
OCEANIC WHITETIP SHARK,244,CARCHARHINUS LONGIMANUS,Requin rameur,
SANDBAR SHARK,245,CARCHARHINUS MILBERTI,Carcharhinus milberti,
DUSKY SHARK,246,CARCHARHINUS OBSCURUS,Requin obscur,
LONGNOSE CHIMERA,247,HARRIOTTA RALEIGHANA,Chimäre-spatule,
KNIFENOSE CHIMERA,248,RHINOCHIMAERA ATLANTICA,Chimäre-couteau,
SHORTNOSE STURGEON,249,ACIPENSER BREVIROSTRUM,Esturgeon Ö museau court,
LONGNOSE GAR,250,LEPISOSTEUS OSSEUS,LÇpisoste osseux,
GADOIDS (COD),251,GADIDAE F.,GadidÇs,
LAMPANYCTUS SP.,252,LAMPANYCTUS SP.,Lampanyctus sp.,
GROUNDFISH (NS),253,GROUNDFISH (NS),Poisson de fond (ns),
BAY ANCHOVY,254,ANCHOA MITCHILLI,Anchois,
SAILFISH,255,ISTIOPHORUS PLATYPTERUS,Voilier atlantique,
PELAGIC FISH (NS),256,PELAGIC FISH (NS),Poisson pÇlagique (ns),
AMBERJACKS,257,SERIOLA SP.,SÇrioles,
ATLANTIC CROAKER,258,MICROPOGONIAS UNDULATUS,Grogneur atlantique,
ATLANTIC NEEDLEFISH,259,STRONGYLURA MARINA,Strongylura marina,
ATLANTIC THREAD HERRING,260,OPISTHONEMA OGLINUM,Opisthonema oglinum,
COMMON POMPANO,261,TRACHINOTUS CAROLINUS,Trachinotus carolinus,
GIZZARD SHAD,262,DOROSOMA CEPEDIANUM,Alose Ö gÇsier,
GRUNTS (GRUNTERS),263,POMADASYIDAE F.,Pomadasyidae f.,
HICKORY SHAD,264,ALOSA MEDIOCRIS,Alose hickory,
MULLETS,265,MUGILIDAE F.,Muges,
PIGFISH,266,ORTHOPRISTIS CHRYSOPTERA,Orthopristis chrysoptera,
RED DRUM,267,SCIAENOPS OCELLATUS,Tambour rouge,
RED PORGY,268,PAGRUS  PAGRUS,Pagre commun,
ROUGH SCAD,269,TRACHURUS LATHAMI,Chinchard rude,
SPOT CROAKER,270,LEIOSTOMUS XANTHURUS,Spot,
SPOTTED WEAKFISH,271,CYNOSCION NEBULOSUS,Acoupa tachetÇ,
STURGEONS,272,ACIPENSERIDAE F.,Esturgeons,
TROUTS,273,SALMO SP.,Saumons atlantiques,
DOGFISHES (NS),274,SQUALIDAE F.,Aiguillat,
CARTILAGINOUS FISHES,275,SELACHII (CHONDRICHTHYES) C.,Poissons cartilagineux,
DEEPSEA SMELTS (NS),276,BATHYLAGIDAE F.,Garcettes,
TRICHOPSETTA SP.,277,TRICHOPSETTA SP.,Trichopsetta sp.,
ROCKFISHES (NS),278,SCORPAENA SP.,Scorpaena sp.,
SYMBOLOPHORUS SP.,279,SYMBOLOPHORUS SP.,Symbolophorus sp.,
SCORPIONFISHES,280,SCORPAENIDAE F.,Scorpänes,
ALOSA SP.,281,ALOSA SP.,Alosa sp.,
CHANNEL FLOUNDER,282,SYACIUM MICRURUM,Fausse limande patÇe,
LABRADOR REDFISH,283,SEBASTES FASCIATUS,SÇbaste du Labrador,
LAMPANYCTUS ATER,284,LAMPANYCTUS ATER,Lampanyctus ater,
NAUCRATES SP.,285,NAUCRATES SP.,Naucrates sp.,
BENTHOSEMA SP.,286,BENTHOSEMA SP.,Benthosema sp.,
NOTOSCOPELUS BOLINI,287,NOTOSCOPELUS BOLINI,Notoscopelus bolini,
ARGENTINES (NS),288,ARGENTINIDAE F.,Argentines,
CAULOLATILUS SP.,289,CAULOLATILUS SP.,Caulolatilus sp.,
HERRING/CAPELIN LIKE,290,CLUPEIDAE/OSMERIDAE F.,Clupeidae/osmeridae f.,
BATHYLAGUS COMPSUS,291,BATHYLAGUS COMPSUS,Garcette ÇtoilÇe,
BOLINICHTHYS PHOTOTHORAX,292,BOLINICHTHYS PHOTOTHORAX,Lanterne Ö joues ÇpinÇes,
CERATOSCOPELUS SP.,293,CERATOSCOPELUS SP.,Ceratoscopelus sp.,
SALMONIFORMES,294,SALMONIFORMES O.,êperlans et saumons,
BATHYLAGUS,295,BATHYLAGUS SP.,Garcettes,
SNAKE MACKERELS (NS),296,GEMPYLIDAE F.,Escolars,
SVETOVIDOVIA SP.,297,SVETOVIDOVIA SP.,Svetovidovia sp.,
LOPHIIFORMES,298,LOPHIIFORMES O.,Baudroies,
SCORPAENIFORMES (ORDER),299,SCORPAENIFORMES (ORDER),Scorpänes,
LONGHORN SCULPIN,300,MYOXOCEPHALUS OCTODECEMSPINOSUS,Chaboisseau Ö dix-huit-Çpines,
SHORTHORN SCULPIN,301,MYOXOCEPHALUS SCORPIUS,Chaboisseau Ö Çpines courtes,
ARCTIC STAGHORN SCULPIN,302,GYMNOCANTHUS TRICUSPIS,Tricorne arctique,
GRUBBY OR LITTLE SCULPIN,303,MYOXOCEPHALUS AENAEUS,Chaboisseau bronzÇ,
MAILED SCULPIN,304,TRIGLOPS MURRAYI,Faux-trigle armÇ,
NYBELIN S SCULPIN,305,TRIGLOPS NYBELINI,Faux-trigle Ö grands yeux,
SNOWFLAKE HOOKEAR SCULPIN,306,ARTEDIELLUS UNCINATUS,Hameáon neigeux,
POLAR SCULPIN,307,COTTUNCULUS MICROPS,Cotte polaire,
PALLID SCULPIN,308,COTTUNCULUS THOMPSONI,Cotte bläme,
SCULPIN (NS),309,TRIGLOPS SP.,Faux-trigle sp.,
SCULPIN,310,MYOXOCEPHALUS SP.,Chaboisseau sp.,
SCULPIN UNIDENTIFIED,311,COTTIDAE F. UNID.,Cottidae f. Unid.,
SCULPINS,312,COTTIDAE F.,Chaboisseaux (CottidÇs),
TWOHORN SCULPIN,313,ICELUS BICORNIS,Icäle Ö deux cornes,
SPATULATE SCULPIN,314,ICELUS SPATULA,Icäle spatulÇe,
FOURHORN SCULPIN,315,MYOXOCEPHALUS QUADRICORNIS,Chaboisseau quatre-cornes,
ARCTIC SCULPIN,316,MYOXOCEPHALUS SCORPIOIDES,Chaboisseau arctique,
RIBBED SCULPIN,317,TRIGLOPS PINGELI,Faux-trigle bardÇ,
SCULPIN,318,ICELUS SP.,Icäles,
SEA RAVEN,320,HEMITRIPTERUS AMERICANUS,HÇmitriptäre atlantique,
THUNNUS SP.,321,THUNNUS SP.,Thunnus sp.,
CYCLOTHONE PSEUDOPALLIDA,322,CYCLOTHONE PSEUDOPALLIDA,Cyclothone pseudopallida,
HOOKEAR SCULPIN (NS),323,ARTEDIELLUS SP.,Hameáons,
MONOLENE ANTILLARUM,324,MONOLENE ANTILLARUM,Monolene antillarum,
ENGYOPHRYS SENTA,325,ENGYOPHRYS SENTA,Engyophrys senta,
PORGIES (NS),326,SPARIDAE F.,Spares,
MYCTOPHUM ASPERUM,327,MYCTOPHUM ASPERUM,Myctophum asperum,
BUTTERFLYFISHES (NS),328,CHAETODONTIDAE F.,Poissons-papillon,
SEAROBINS,329,TRIGLIDAE F.,Trigles,
NORTHERN;COMMON  SEAROBIN,330,PRIONOTUS CAROLINUS,Prionote du nord,
ARMORED SEA ROBIN,331,PERISTEDION MINIATUM,Prionote Ö cuirasse,
STRIPED SEAROBIN,332,PRIONOTUS EVOLANS,Prionote striÇ,
TRICHOPSETTA ORBISULCUS,333,TRICHOPSETTA ORBISULCUS,Trichopsetta orbisulcus,
CHAULIODUS DANAE,334,CHAULIODUS DANAE,Chauliode de Dana,
CHAULIODUS SP.,335,CHAULIODUS SP.,Chauliodus sp.,
HERRING (NS),336,CLUPEIDAE F.,Harengs,
SMELTS;CAPELIN (NS),337,OSMERIDAE F.,êperlans,
ARISTOSTOMIAS SP.,338,ARISTOSTOMIAS SP.,Aristostomias sp.,
LIZARDFISHES,339,SYNODONTIDAE F.,Poissons-lÇzard,
ALLIGATORFISH,340,ASPIDOPHOROIDES MONOPTERYGIUS,Poisson-alligator atlantique,
ARCTIC ALLIGATORFISH,341,ASPIDOPHOROIDES OLRIKI,Poisson-alligator arctique,
HYGOPHUM REINHARDTII,342,HYGOPHUM REINHARDTII,Hygophum reinhardtii,
LAMPADENA SP.,343,LAMPADENA SP.,Lampadena sp.,
FRINGED FLOUNDER,344,ETROPUS CROSSOTUS,Etropus crossotus,
SPOTFIN FLOUNDER,345,CYCLOPSETTA FIMBRIATA,Cyclopsetta fimbriata,
FLATFISH,346,PLEURONECTIFORMES O.,Poissons-plats,
BATHYLAGUS GREYAE,347,BATHYLAGUS GREYAE,Bathylagus greyae,
VINCIGUERRIA SP.,348,VINCIGUERRIA SP.,Vinciguerria sp.,
